ID	Population	Site	Depth	Est_K	P1	P2	P3	P4	group	relatedness	mean_IBD_length.kb	N50_IBD_Length.kb	Mean_IBD_goodness	cluster	year	eff_k
PH0497-CW	West_Cambodia	Pursat	81	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2009	1
PH0498-CW	West_Cambodia	Pursat	75.7	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2009	1
PH0499-CW	West_Cambodia	Pursat	109.27	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0500-CW	West_Cambodia	Pursat	81.48	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2009	1
PH0501-CW	West_Cambodia	Pursat	111.08	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2009	1
PH0526-C	West_Cambodia	Pursat	16.29	1	0.99	0	0	0	Asia1	NA	NA	NA	NA	NA	2011	1.02030405060708
PH0527-C	West_Cambodia	Pursat	116.05	1	1	0	0	0	Asia1	NA	NA	NA	NA	HighSib	2011	1
PH0528-C	West_Cambodia	Pursat	50.2	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2011	1
PH0529-C	West_Cambodia	Pursat	19.69	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2011	1
PH0530-C	West_Cambodia	Pursat	31.42	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2011	1
PH0531-C	West_Cambodia	Pursat	25.27	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2011	1
PH0532-C	West_Cambodia	Pursat	60.06	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2011	1
PH0533-C	West_Cambodia	Pursat	20.7	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2011	1
PH0534-C	West_Cambodia	Pursat	73.17	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2011	1
PH0535-C	West_Cambodia	Pursat	8.13	1	0.99	0	0	0	Asia1	NA	NA	NA	NA	NA	2011	1.02030405060708
PH0536-C	West_Cambodia	Pursat	17.9	3	0	0.3	0.63	0.07	Asia1	0.582706241796197	170.837604395604	452.607	0.546785398774901	Sib	2011	2.03334688897926
PH0537-C	West_Cambodia	Pursat	31.43	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2011	1
PH0538-C	West_Cambodia	Pursat	28.71	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2011	1
